loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status,timestamp
4200,60 months,28.11,121.09,G,3 years,MORTGAGE,26083.0,Not Verified,debt_consolidation,24.35,0,659,72.53,Charged Off,2026-04-29 12:00:00
19500,36 months,12.62,648.8,B,2 years,OWN,59044.0,Not Verified,debt_consolidation,5.51,0,730,56.17,Fully Paid,2026-03-10 06:00:00
17400,36 months,12.05,565.95,B,10+ years,RENT,97875.0,Not Verified,debt_consolidation,9.62,0,709,43.5,Fully Paid,2026-03-24 05:00:00
14200,36 months,17.41,477.84,C,1 year,MORTGAGE,99856.0,Not Verified,small_business,16.67,1,693,63.3,Fully Paid,2026-05-05 14:00:00
6700,60 months,10.91,130.81,A,,MORTGAGE,38269.0,Not Verified,credit_card,2.41,0,724,57.9,Fully Paid,2026-05-07 06:00:00
10900,36 months,12.28,350.59,B,4 years,MORTGAGE,52048.0,Verified,credit_card,15.89,0,720,34.63,Fully Paid,2026-04-08 09:00:00
29100,60 months,19.56,693.2,C,6 years,OWN,86694.0,Verified,credit_card,14.98,0,689,90.9,Fully Paid,2026-05-06 17:00:00
6000,36 months,18.64,204.02,C,10+ years,OWN,29767.0,Not Verified,medical,21.8,0,712,106.17,Charged Off,2026-05-16 00:00:00
4100,36 months,19.88,147.98,D,10+ years,MORTGAGE,78375.0,Verified,credit_card,11.46,0,687,57.47,Fully Paid,2026-03-31 16:00:00
4900,60 months,22.2,122.31,D,10+ years,MORTGAGE,39346.0,Verified,debt_consolidation,23.62,0,683,83.97,Charged Off,2026-05-17 08:00:00
8800,60 months,8.95,176.12,B,6 years,RENT,26625.0,Source Verified,credit_card,14.42,1,734,41.4,Fully Paid,2026-03-28 06:00:00
7700,36 months,14.79,262.38,C,,RENT,156688.0,Not Verified,debt_consolidation,28.23,0,694,28.73,Fully Paid,2026-03-17 05:00:00
11100,36 months,14.66,361.62,B,10+ years,MORTGAGE,35167.0,Not Verified,debt_consolidation,32.4,0,718,89.33,Fully Paid,2026-04-29 04:00:00
10500,36 months,24.63,396.29,F,,MORTGAGE,18621.0,Source Verified,debt_consolidation,14.68,0,678,51.97,Charged Off,2026-04-21 06:00:00
17800,36 months,14.25,606.2,C,4 years,MORTGAGE,20073.0,Source Verified,credit_card,19.46,0,694,26.47,Fully Paid,2026-03-10 21:00:00
18300,60 months,16.86,410.41,C,5 years,RENT,30631.0,Not Verified,debt_consolidation,24.15,0,703,74.2,Charged Off,2026-05-06 13:00:00
37300,36 months,15.57,1285.18,D,2 years,RENT,108483.0,Not Verified,debt_consolidation,16.02,0,689,56.73,Fully Paid,2026-03-16 21:00:00
13600,60 months,14.98,292.18,B,8 years,RENT,57119.0,Not Verified,debt_consolidation,28.47,0,707,72.9,Charged Off,2026-05-04 02:00:00
16700,36 months,7.02,515.8,A,10+ years,RENT,73500.0,Verified,credit_card,19.16,0,738,42.7,Fully Paid,2026-03-05 01:00:00
7100,36 months,20.39,249.23,D,10+ years,RENT,16981.0,Source Verified,debt_consolidation,6.73,0,700,36.0,Fully Paid,2026-05-08 21:00:00
8300,36 months,16.92,277.35,C,10+ years,MORTGAGE,70606.0,Source Verified,debt_consolidation,20.28,1,702,39.5,Fully Paid,2026-05-06 02:00:00
6300,60 months,18.27,145.84,D,6 years,MORTGAGE,54844.0,Not Verified,credit_card,32.66,0,685,100.2,Fully Paid,2026-05-10 00:00:00
17400,60 months,20.27,430.29,D,4 years,RENT,38267.0,Verified,debt_consolidation,18.75,0,673,23.57,Fully Paid,2026-04-22 14:00:00
9600,36 months,19.29,341.26,F,10+ years,MORTGAGE,42194.0,Source Verified,other,30.45,0,685,69.63,Charged Off,2026-04-12 07:00:00
6400,60 months,13.59,134.69,B,< 1 year,MORTGAGE,97417.0,Verified,debt_consolidation,17.44,1,719,37.43,Fully Paid,2026-04-28 15:00:00
17600,36 months,19.01,631.96,D,3 years,MORTGAGE,51281.0,Source Verified,debt_consolidation,12.26,0,697,58.3,Charged Off,2026-03-26 18:00:00
4100,36 months,14.66,132.6,C,,MORTGAGE,86694.0,Verified,debt_consolidation,7.54,0,713,41.0,Fully Paid,2026-05-09 08:00:00
3800,36 months,14.25,124.86,B,2 years,MORTGAGE,68075.0,Not Verified,credit_card,8.23,0,726,93.2,Fully Paid,2026-04-13 09:00:00
19000,36 months,9.85,589.71,A,5 years,RENT,45688.0,Source Verified,debt_consolidation,26.12,0,749,77.63,Fully Paid,2026-04-12 12:00:00
11500,36 months,12.38,367.73,B,3 years,MORTGAGE,36050.0,Not Verified,debt_consolidation,13.26,0,714,65.3,Fully Paid,2026-04-15 13:00:00
10100,36 months,10.12,312.41,A,3 years,MORTGAGE,51800.0,Verified,debt_consolidation,13.81,1,745,35.1,Fully Paid,2026-04-16 11:00:00
14100,60 months,13.24,322.55,C,1 year,RENT,84900.0,Not Verified,debt_consolidation,29.45,0,693,24.5,Fully Paid,2026-03-06 09:00:00
4500,36 months,8.36,140.72,A,10+ years,MORTGAGE,42790.0,Verified,debt_consolidation,12.61,0,747,69.37,Fully Paid,2026-03-13 12:00:00
14900,36 months,10.81,479.45,B,10+ years,MORTGAGE,25779.0,Verified,major_purchase,15.35,0,747,37.93,Fully Paid,2026-03-16 03:00:00
8000,36 months,7.25,246.1,A,7 years,MORTGAGE,43573.0,Not Verified,debt_consolidation,17.21,1,734,74.67,Fully Paid,2026-03-15 01:00:00
6700,36 months,25.66,259.91,G,4 years,MORTGAGE,74354.0,Not Verified,major_purchase,19.91,0,678,93.53,Fully Paid,2026-04-10 08:00:00
14200,60 months,18.0,330.41,D,10+ years,MORTGAGE,44583.0,Source Verified,debt_consolidation,45.94,0,698,57.13,Charged Off,2026-05-03 23:00:00
13900,36 months,23.21,514.52,E,< 1 year,RENT,102073.0,Verified,debt_consolidation,4.86,0,688,86.17,Fully Paid,2026-04-23 07:00:00
24500,60 months,9.45,484.55,A,1 year,RENT,43179.0,Verified,credit_card,11.16,1,748,39.43,Fully Paid,2026-04-10 07:00:00
14700,60 months,14.05,305.5,C,5 years,MORTGAGE,57554.0,Not Verified,debt_consolidation,9.98,0,713,41.37,Fully Paid,2026-05-14 02:00:00
19200,60 months,10.53,385.0,B,10+ years,MORTGAGE,63175.0,Not Verified,debt_consolidation,27.55,1,763,47.1,Charged Off,2026-04-19 05:00:00
16000,36 months,19.75,592.58,E,10+ years,RENT,37900.0,Verified,debt_consolidation,12.23,0,672,60.1,Charged Off,2026-03-07 19:00:00
9800,60 months,20.2,236.76,E,10+ years,RENT,83038.0,Not Verified,debt_consolidation,20.08,1,673,53.6,Fully Paid,2026-05-10 08:00:00
3800,36 months,19.94,135.37,D,1 year,OWN,19250.0,Not Verified,debt_consolidation,16.02,0,688,54.7,Charged Off,2026-04-16 12:00:00
11300,60 months,12.71,235.72,B,10+ years,RENT,127015.0,Source Verified,debt_consolidation,22.05,0,714,28.47,Charged Off,2026-04-25 12:00:00
14200,36 months,14.11,465.63,B,3 years,MORTGAGE,58712.0,Not Verified,credit_card,11.82,0,713,69.3,Charged Off,2026-04-15 12:00:00
10600,60 months,15.76,239.88,C,9 years,MORTGAGE,68250.0,Verified,debt_consolidation,14.21,0,690,68.5,Fully Paid,2026-04-16 05:00:00
10900,36 months,15.08,375.61,C,7 years,OWN,42398.0,Not Verified,debt_consolidation,17.26,0,689,11.17,Fully Paid,2026-03-14 07:00:00
21400,36 months,13.1,691.52,C,8 years,MORTGAGE,37712.0,Not Verified,home_improvement,49.24,0,717,84.6,Charged Off,2026-04-13 13:00:00
8000,36 months,25.13,299.88,E,,RENT,85312.0,Source Verified,home_improvement,13.4,1,673,72.7,Fully Paid,2026-05-08 23:00:00
10600,36 months,18.14,376.02,D,10+ years,RENT,40406.0,Source Verified,major_purchase,9.67,0,695,50.6,Fully Paid,2026-03-23 02:00:00
17900,36 months,9.89,547.72,A,10+ years,RENT,33483.0,Not Verified,credit_card,17.6,1,751,54.87,Fully Paid,2026-04-24 01:00:00
10500,60 months,11.35,230.13,B,6 years,MORTGAGE,138200.0,Verified,debt_consolidation,18.05,0,724,51.5,Fully Paid,2026-03-05 08:00:00
11600,36 months,16.01,396.52,C,3 years,RENT,54450.0,Not Verified,debt_consolidation,22.64,0,666,97.97,Fully Paid,2026-04-02 06:00:00
7800,36 months,13.98,257.14,C,10+ years,RENT,61992.0,Not Verified,debt_consolidation,13.05,1,711,82.73,Fully Paid,2026-04-09 11:00:00
14300,36 months,18.01,478.46,E,1 year,MORTGAGE,92808.0,Verified,debt_consolidation,32.07,0,682,57.63,Charged Off,2026-05-21 10:00:00
14000,36 months,11.66,456.09,B,7 years,MORTGAGE,58075.0,Not Verified,debt_consolidation,13.97,0,716,82.33,Fully Paid,2026-03-18 20:00:00
10400,36 months,10.28,329.65,B,10+ years,MORTGAGE,42844.0,Verified,debt_consolidation,35.57,0,694,15.2,Fully Paid,2026-03-26 03:00:00
16500,36 months,21.55,609.42,F,8 years,MORTGAGE,33825.0,Verified,credit_card,21.37,1,677,72.27,Fully Paid,2026-04-02 23:00:00
21100,60 months,23.75,538.68,D,2 years,RENT,71842.0,Not Verified,credit_card,28.12,1,704,74.43,Fully Paid,2026-05-23 08:00:00
5800,36 months,16.66,191.7,B,10+ years,MORTGAGE,46075.0,Verified,debt_consolidation,6.47,0,707,43.17,Fully Paid,2026-05-14 20:00:00
9400,60 months,13.57,216.63,D,2 years,MORTGAGE,97500.0,Not Verified,credit_card,33.99,1,656,47.5,Charged Off,2026-03-06 11:00:00
7800,36 months,12.61,257.62,B,2 years,RENT,73121.0,Not Verified,major_purchase,19.65,0,710,55.63,Charged Off,2026-03-21 20:00:00
10100,36 months,12.36,315.85,A,2 years,RENT,47369.0,Source Verified,debt_consolidation,20.65,0,757,53.8,Fully Paid,2026-05-10 22:00:00
40000,36 months,17.67,1439.48,D,9 years,MORTGAGE,19900.0,Not Verified,credit_card,18.09,0,691,84.2,Fully Paid,2026-03-02 18:00:00
21800,36 months,18.39,738.63,D,4 years,MORTGAGE,38554.0,Source Verified,debt_consolidation,20.18,1,678,74.27,Fully Paid,2026-05-15 23:00:00
8900,36 months,11.17,285.8,B,9 years,MORTGAGE,69375.0,Source Verified,debt_consolidation,17.44,1,713,46.2,Fully Paid,2026-03-24 13:00:00
13600,60 months,17.34,301.43,C,10+ years,MORTGAGE,39621.0,Source Verified,other,20.07,0,691,96.43,Charged Off,2026-05-19 09:00:00
11900,36 months,8.41,366.95,B,2 years,MORTGAGE,66375.0,Not Verified,debt_consolidation,11.32,2,770,82.1,Fully Paid,2026-03-28 13:00:00
13200,36 months,16.72,452.56,D,10+ years,MORTGAGE,55990.0,Source Verified,credit_card,26.48,0,716,17.13,Fully Paid,2026-04-06 11:00:00
17800,36 months,13.86,577.37,B,10+ years,RENT,59621.0,Source Verified,credit_card,22.16,0,729,62.67,Fully Paid,2026-04-25 22:00:00
27500,36 months,11.86,905.01,B,10+ years,MORTGAGE,66583.0,Not Verified,debt_consolidation,11.0,0,731,52.27,Fully Paid,2026-03-14 09:00:00
21100,36 months,10.45,655.86,B,10+ years,RENT,92750.0,Verified,credit_card,15.05,0,735,85.9,Fully Paid,2026-04-19 23:00:00
17800,60 months,16.29,407.65,C,8 years,RENT,23450.0,Not Verified,debt_consolidation,25.13,0,690,78.5,Fully Paid,2026-04-17 16:00:00
17700,36 months,26.09,672.22,F,7 years,MORTGAGE,29169.0,Verified,debt_consolidation,31.82,0,636,70.1,Charged Off,2026-05-10 02:00:00
7700,60 months,15.94,165.27,C,4 years,MORTGAGE,56271.0,Verified,medical,25.22,0,664,80.53,Fully Paid,2026-05-18 19:00:00
15000,36 months,13.79,486.05,B,3 years,RENT,23575.0,Verified,home_improvement,16.87,0,710,91.47,Fully Paid,2026-04-26 05:00:00
24800,60 months,12.17,529.0,C,7 years,RENT,63525.0,Verified,small_business,17.07,1,720,71.57,Fully Paid,2026-03-31 02:00:00
25200,36 months,14.37,841.46,C,4 years,MORTGAGE,78283.0,Not Verified,debt_consolidation,6.72,1,674,54.37,Charged Off,2026-04-01 04:00:00
35200,36 months,13.11,1145.91,B,1 year,OWN,132942.0,Verified,debt_consolidation,10.77,0,731,70.23,Fully Paid,2026-04-06 21:00:00
10300,60 months,12.71,209.88,A,3 years,MORTGAGE,50375.0,Source Verified,debt_consolidation,8.86,0,737,48.3,Fully Paid,2026-05-06 19:00:00
8300,36 months,8.95,257.99,B,4 years,MORTGAGE,73406.0,Source Verified,debt_consolidation,17.46,0,751,,Fully Paid,2026-03-28 05:00:00
16200,36 months,20.39,597.03,E,6 years,RENT,45425.0,Source Verified,debt_consolidation,10.57,0,659,65.53,Charged Off,2026-03-17 21:00:00
6400,36 months,12.47,207.93,C,,OWN,50783.0,Verified,debt_consolidation,28.76,0,694,31.37,Fully Paid,2026-04-04 18:00:00
6100,36 months,9.94,196.66,B,< 1 year,MORTGAGE,37300.0,Verified,credit_card,27.26,1,724,33.2,Fully Paid,2026-03-06 05:00:00
6200,36 months,14.2,211.0,C,5 years,MORTGAGE,14883.0,Source Verified,debt_consolidation,16.64,0,706,27.37,Fully Paid,2026-03-13 09:00:00
13400,36 months,12.21,443.22,B,10+ years,MORTGAGE,260262.0,Verified,debt_consolidation,8.1,2,710,36.17,Fully Paid,2026-03-15 13:00:00
6900,36 months,19.07,237.74,C,8 years,MORTGAGE,18931.0,Verified,debt_consolidation,26.9,0,705,105.1,Fully Paid,2026-05-07 00:00:00
7300,36 months,25.02,275.1,E,10+ years,MORTGAGE,39250.0,Not Verified,home_improvement,15.21,0,669,37.33,Fully Paid,2026-04-29 09:00:00
19000,60 months,25.9,523.68,E,10+ years,MORTGAGE,29250.0,Source Verified,debt_consolidation,22.08,1,682,87.43,Fully Paid,2026-05-03 23:00:00
12900,60 months,17.79,308.86,E,1 year,MORTGAGE,42462.0,Verified,credit_card,19.21,1,705,49.83,Fully Paid,2026-04-09 21:00:00
10100,36 months,16.82,339.43,C,10+ years,MORTGAGE,30333.0,Not Verified,debt_consolidation,17.16,0,703,75.03,Fully Paid,2026-05-01 07:00:00
36000,36 months,7.06,1104.35,A,10+ years,RENT,57673.0,Source Verified,debt_consolidation,9.23,1,742,60.87,Fully Paid,2026-03-11 01:00:00
6700,36 months,14.73,215.34,C,4 years,RENT,51300.0,Not Verified,credit_card,12.54,1,738,98.57,Charged Off,2026-05-12 12:00:00
23900,36 months,15.54,800.0,B,< 1 year,MORTGAGE,34562.0,Source Verified,debt_consolidation,7.77,0,732,44.6,Fully Paid,2026-04-14 04:00:00
10600,36 months,24.1,386.41,D,5 years,OWN,16650.0,Not Verified,debt_consolidation,29.12,0,672,103.73,Charged Off,2026-05-19 13:00:00
